 ,Area,Mean,Min,Max,Angle,Length
1,698.554,53.949,36.194,99.083,-14.657,215.341
2,595.825,103.222,76.553,129.572,-54.926,184.065
3,534.188,96.426,59.275,130.392,-57.875,162.737
4,595.825,58.745,40.543,76.832,-68.385,182.720
5,349.277,135.756,95.545,200.000,-81.384,106.976
6,821.828,38.256,0.000,48.000,-109.120,254.419
7,719.099,54.537,40.328,91.187,-100.008,221.316
8,554.734,50.268,40.038,78.000,-93.240,170.144
9,534.188,55.422,44.000,161.000,-107.021,164.245
10,452.005,48.696,43.000,56.000,-154.026,139.045
11,739.645,56.225,44.254,156.000,-114.044,228.128
12,626.644,56.260,48.000,79.000,-112.694,191.075
13,575.279,54.539,48.000,82.000,-38.333,175.698
14,452.005,73.881,66.791,87.000,-39.289,136.660
